"","GSM505327","GSM505328","GSM505329","GSM505330","GSM505334","GSM505337","GSM505338","GSM505339","GSM505346","GSM505347","GSM505348","GSM505352","GSM505353","GSM505354","GSM505355","GSM505361","GSM505362","GSM505363","GSM505364","GSM505365","GSM505366","GSM505367","GSM505368","GSM505371","GSM505374","GSM505375","GSM505378","GSM505382","GSM505384","GSM505388","GSM505390","GSM505392","GSM505394","GSM505398","GSM505402","GSM505404","GSM505406","GSM505408","GSM505410","GSM505412","GSM505414","GSM505415","GSM505420","GSM505422","GSM505424","GSM505426","GSM505427","GSM505429","GSM505430","GSM505431","GSM505433","GSM505448","GSM505449","GSM505451","GSM505452","GSM505453","GSM505455","GSM505456","GSM505457","GSM505458","GSM505461","GSM505463","GSM505464","GSM505465","GSM505468","GSM505469","GSM505471","GSM505472","GSM505473","GSM505474","GSM505477","GSM505479","GSM505480","GSM505481","GSM505482","GSM505483","GSM505484","GSM505485","GSM505486","GSM505488","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"205225_at",13.0759,13.7616,12.736,13.8228,12.8445,11.8396,12.4562,12.2024,12.8623,13.764,11.444,14.2366,13.7238,11.4232,11.3391,12.7341,12.9117,13.8611,11.6071,12.9999,14.1548,11.7896,13.1663,12.0832,12.9374,12.5191,12.0389,13.6226,10.8245,13.5035,12.0186,13.483,12.1408,12.2749,13.0559,14.0098,14.0217,12.5402,10.9442,7.895,12.2433,13.2485,11.8458,14.1295,11.1843,12.9698,11.7818,10.8334,12.0949,12.9905,11.202,11.995,10.2914,12.9166,12.2656,11.8145,12.5353,13.422,12.5867,11.8206,9.6024,11.0475,12.7629,12.8106,12.3486,12.6635,14.0632,12.1359,10.2524,12.9502,12.4009,12.5568,11.5745,11.3717,11.1494,12.1828,14.7744,13.3059,12.3296,14.6833,8.3607,8.9998,8.974,7.0561,7.987,10.1026,8.0999,8.5567,10.7157,8.5834,7.4728,8.4135,6.8669,8.4676,7.6136,8.4559,7.8963,8.15,7.4166,8.6856,8.1952,10.719,3.6784,8.2599,7.4097,7.7153,7.2509,7.4147,10.2287,6.2819,5.8987,7.3404,7.8375,7.9667,7.2503,7.9329,12.652,8.8311,8.0794,8.1639,10.0307,3.8104,9.17,7.0398,6.3992,7.5145,8.3734,12.3648,9.3602,7.7434
"209603_at",10.5793,10.5772,11.1181,12.3437,10.5914,10.2397,10.0288,10.9478,11.4367,10.3884,10.9906,11.508,11.5596,11.7166,8.9839,11.1457,10.9915,11.4351,11.157,11.0987,11.3986,10.7427,12.036,10.4631,12.2846,11.2264,11.0791,10.6735,9.0168,10.629,10.7869,11.1849,10.725,10.7588,10.9914,9.569,11.3047,11.802,11.272,8.0909,10.5622,11.2837,10.78,11.9385,10.4262,11.411,11.0567,11.3628,11.0086,11.2769,9.6543,10.9685,9.8598,12.0863,10.3972,10.003,11.7446,11.5473,11.8294,9.5336,9.9781,9.5281,12.4544,11.9442,10.8329,12.2991,10.476,9.3952,9.4884,11.1543,12.0558,9.9061,10.3189,10.5788,10.5111,11.2168,11.4996,11.5555,9.9595,11.4715,7.7225,8.4591,7.356,6.6269,8.886,10.1557,9.0275,8.4549,8.9255,8.068,10.4111,7.4519,7.9928,7.8222,7.5922,6.7856,7.3408,8.4789,7.7591,5.3853,7.2157,9.6384,7.164,7.8118,8.0759,7.6964,7.3315,7.3256,10.0573,3.7156,9.2016,5.1312,6.9875,4.6863,10.7034,7.2876,10.3587,8.9991,6.966,7.8156,9.2359,7.1924,10.0765,6.457,6.7758,4.6637,7.668,10.2034,8.2222,8.1615
"212956_at",13.36,13.2925,12.3582,13.1325,13.433,11.8889,12.4273,12.4745,11.6637,13.9558,13.1016,13.1174,13.7972,13.2411,12.5047,12.6052,12.7904,13.3609,12.8879,11.3677,13.2225,12.177,13.0678,12.2257,13.022,13.4395,13.5637,12.5382,11.1295,12.2744,10.9664,12.3577,11.6939,12.2083,12.9762,10.3379,12.5246,12.7891,9.9531,11.4561,12.6507,12.2621,12.7044,13.929,12.7331,12.2626,11.2163,12.8769,11.248,13.3934,12.1265,12.9209,12.2946,13.6283,12.3058,11.3646,12.9655,12.9782,13.6062,12.5998,13.0948,10.866,14.3211,13.7081,12.346,14.4063,13.5991,12.5977,10.228,13.0467,12.4623,11.9581,12.8542,11.4698,12.0226,12.7002,13.6442,13.2354,11.5862,14.4884,10.8038,8.3545,10.0088,8.9243,10.9061,10.9066,10.6692,10.2593,11.99,8.9875,11.971,9.7345,9.3805,8.9354,10.5317,10.1753,9.7544,9.7492,9.2101,8.8312,8.6669,10.5998,8.8364,11.359,9.6608,9.8368,7.9427,9.2672,11.265,8.7523,10.4149,8.948,7.7249,7.9109,11.2042,9.4619,11.6239,9.5934,10.9837,10.5981,10.3561,7.2423,11.6962,8.976,7.6085,7.8995,9.441,13.1114,11.2233,9.3679
"212960_at",10.8422,10.572,9.8482,10.6942,10.9367,9.8482,9.1346,9.951,9.3393,11.7924,10.4734,10.643,12.27,10.8471,10.4006,10.1141,10.6801,10.7132,10.1562,8.4909,10.0517,8.2661,10.6223,10.2502,10.5886,11.0586,10.8038,10.4601,8.1114,10.1967,9.4758,11.1463,10.3844,11.3707,10.5611,10.3516,10.062,10.1193,8.4802,8.7074,9.9546,10.0258,10.4334,11.678,9.8244,9.8656,8.7717,10.1834,9.2464,10.9715,9.4588,9.9301,9.9232,11.7053,9.4515,9.0806,10.2371,10.7038,11.0206,9.6936,11.3319,8.8849,11.7982,11.7758,10.0879,11.7574,11.2822,9.9247,8.0714,11.0139,10.1567,9.4933,9.8661,8.7772,9.3381,10.1287,11.1524,10.9948,9.4518,11.188,8.4035,8.372,8.3818,7.6843,8.6924,8.57,8.664,8.0576,9.418,9.2876,9.4486,8.2824,8.1298,8.0405,8.7878,8.5951,8.3719,8.2607,8.3023,7.99,8.4119,8.7242,8.2816,8.3448,8.8188,8.438,7.8309,9.0729,8.9229,8.1439,8.5516,8.4621,8.2011,8.4441,9.5143,8.218,9.6075,9.2432,8.9648,9.0827,8.4213,7.0533,8.9946,7.1155,6.5165,7.9606,7.7009,10.3256,8.7271,8.5605
"214440_at",12.6295,13.4492,12.3205,8.7672,9.6743,13.2828,10.5,10.7921,10.0699,14.6369,12.7442,13.5126,12.3125,13.3354,11.2106,11.942,11.2301,12.9845,14.0729,12.3862,14.3388,11.5947,11.9927,14.7162,9.436,8.6102,8.6438,11.5999,8.3304,12.8065,12.0965,13.1922,10.7519,12.7617,8.4377,11.0875,13.3407,8.5419,8.8882,10.689,9.0839,12.5483,13.4287,13.9311,9.5591,13.1726,8.6709,11.5516,11.9122,13.7108,10.0984,13.3537,12.6998,14.7382,12.5226,9.6873,12.9769,13.6351,14.7901,10.5346,13.2798,10.1048,12.3067,13.8763,11.2713,13.1579,10.8406,11.0351,10.2493,12.9423,13.8486,14.4613,13.4557,10.1615,13.2088,10.9807,13.4771,10.5127,10.6027,11.544,9.8562,8.1629,8.5573,7.1961,8.4331,10.0989,8.7904,8.9649,8.9039,8.8652,9.0391,8.6642,8.574,8.3989,9.2643,8.8052,9.2215,9.0208,6.9822,8.159,8.7538,9.3593,8.2756,7.7187,8.0431,8.568,8.4273,8.7282,9.5844,8.5848,7.3687,7.4075,7.9138,7.0526,9.5429,8.6429,10.3438,8.7594,9.3533,9.1912,7.7728,7.912,11.267,8.6927,6.8122,8.0262,9.0515,12.866,9.4424,7.775
"209604_s_at",14.3763,14.0214,14.5222,14.9144,13.3798,14.1152,14.088,14.6333,14.664,14.508,14.3534,14.4045,14.3113,14.7897,13.169,14.3155,14.9286,14.3454,14.4465,14.404,14.3343,14.2872,14.4551,14.7315,14.8685,14.8729,14.2505,13.9018,12.9159,13.7334,14.2651,14.5038,14.5693,13.8295,14.3148,13.8379,14.4673,14.3213,14.8717,11.6816,14.9933,14.936,14.1947,14.996,14.627,14.4276,14.5758,14.2774,14.3484,14.4267,13.6494,14.3931,13.7352,14.9263,14.1932,13.2399,14.956,14.674,14.9417,13.671,14.0026,13.3156,15.2349,14.9183,14.0905,15.0195,13.773,13.6573,13.186,14.7152,15.0045,14.0287,14.4412,14.1005,14.2047,14.7614,14.8724,15.1204,13.769,15.1746,10.8821,12.2287,11.0112,9.7734,13.2361,14.1058,12.722,12.5708,12.6522,10.8359,13.6927,10.2794,11.3702,12.1343,11.4554,10.1851,10.699,12.1241,11.528,9.4435,11.3759,14.1977,11.1143,11.6584,12.7958,11.0267,10.5023,9.708,13.3445,8.305,12.8519,10.5326,9.724,7.3236,13.8973,10.2403,13.9074,12.9684,9.7665,12.6122,12.7592,9.582,13.839,9.9527,10.0017,10.3415,11.7681,14.2836,11.7642,11.264
"214164_x_at",12.6474,11.7852,12.7464,10.9562,9.2602,11.6491,11.9349,11.1997,12.8061,13.1942,11.9813,11.8014,12.0271,10.4683,11.6847,12.2213,11.885,13.5777,12.6334,12.2108,12.3533,11.7466,12.6511,12.2398,12.5708,13.7442,11.2563,12.0394,11.076,12.7348,12.2847,13.5292,12.8285,13.0173,12.2478,14.0764,12.7134,9.4755,11.4074,10.6555,11.6343,12.161,12.7039,14.8983,11.6794,11.9407,12.1756,12.7763,11.213,14.4136,13.1194,12.8993,13.035,12.908,13.1264,10.2122,12.9575,13.1537,14.0839,11.6268,13.3777,10.8956,13.9203,13.4985,10.9554,13.7563,12.3503,11.0469,11.4131,11.6872,12.4113,12.7731,13.0116,13.9149,12.0102,12.1311,13.1068,14.0103,13.9384,12.2817,9.6913,8.7343,9.7714,7.4908,9.802,10.9737,10.8545,10.1915,10.8192,8.7484,9.5298,9.7979,9.1679,8.8358,8.3473,7.5039,9.6233,9.2567,7.8891,8.2866,8.1543,11.4492,9.882,9.4506,12.7615,9.9437,8.871,8.0169,11.8167,9.1091,11.3181,7.8265,8.643,7.6351,12.4894,7.7479,11.5448,9.708,8.2237,9.8416,9.8019,7.0129,10.7241,8.2308,6.5685,8.8265,9.1538,13.0672,9.3508,12.7241
"204508_s_at",10.1763,9.3275,9.92,8.9128,6.4544,8.4624,9.0767,8.8618,10.3608,10.4822,9.5693,9.3072,9.7793,8.1056,8.7031,10.076,8.0906,11.4458,9.7068,9.3395,9.8688,9.4071,10.1436,9.3766,10.1122,11.2929,9.1324,9.7578,8.353,10.7588,10.1203,10.8232,10.2651,10.1747,10.746,11.6026,10.7002,7.4145,9.0546,8.0046,7.6451,9.2572,10.3686,12.795,8.475,8.8656,9.4682,9.737,8.0685,12.238,10.106,10.3476,10.788,10.3959,10.3555,6.4935,10.9673,10.9712,11.6516,8.9403,11.5707,8.1877,11.9468,10.9283,8.3631,11.7365,9.9419,8.7742,8.8494,9.1732,9.9137,10.4918,10.356,11.4213,9.8751,9.7861,10.6719,11.8875,11.3125,9.5181,4.8606,4.5569,4.723,3.7788,7.2568,8.201,8.4555,5.8544,7.7363,5.4881,6.3788,6.2395,4.7333,4.5763,4.1328,4.7115,5.852,5.6595,3.1318,4.7862,3.5843,8.9374,6.8452,7.0044,10.3654,7.6257,6.5162,4.5782,8.5738,5.1272,8.7904,4.5907,3.6682,3.4802,10.3336,4.3129,8.4227,5.2147,4.5194,7.1318,7.5743,3.9804,8.6209,3.3617,3.5299,6.4021,7.3977,10.2045,5.4341,10.1568
"215867_x_at",12.6194,11.5534,12.7285,11.0454,9.2365,11.8321,12.0586,11.2566,12.5183,12.9994,12.217,11.9344,11.8592,10.5819,11.6647,12.3123,12.1451,13.3377,12.4268,12.156,12.3598,11.7531,12.4881,12.3237,12.2942,13.5062,11.2328,11.5032,11.2002,12.4754,12.3601,12.9799,12.1248,12.5534,12.313,13.9752,12.4954,9.8276,11.7004,10.6948,11.6786,11.7016,12.5347,14.7284,11.4289,11.9018,12.22,12.555,11.431,14.1152,12.7516,12.7764,12.8726,12.6528,12.9668,10.2404,12.7089,12.9391,13.8849,11.6762,13.2189,10.6105,13.8427,13.2226,10.9504,13.4699,12.2351,11.1743,11.2031,11.7157,12.0084,12.6107,12.6857,13.8362,12.0276,11.8135,12.8927,13.788,13.592,12.2326,9.8391,9.3945,10.1242,8.4811,9.8661,10.931,10.7828,10.5213,10.7924,9.3723,9.5794,9.7829,9.5442,9.0829,8.7861,8.1038,9.7983,9.3203,7.8491,8.7277,8.8596,11.3998,9.9496,9.7074,12.6609,9.9286,9.7538,9.7164,11.5719,9.4105,11.2668,8.3812,7.2726,8.368,12.607,8.15,11.534,9.9146,8.3414,10.3519,9.4783,6.0918,10.6393,8.3014,7.2514,9.0692,8.7807,12.7996,9.2339,12.4857
"210735_s_at",11.5638,10.8918,11.6213,9.7456,7.8738,10.0083,10.7399,9.7376,11.9763,12.0741,11.0802,10.4727,10.7946,9.9596,10.3508,11.5397,11.2167,12.572,11.2184,11.1162,11.73,10.7053,11.1614,11.1342,10.8788,12.4535,9.8943,10.7831,8.5793,11.7114,10.8935,11.8609,10.9715,11.3171,10.8518,12.8864,11.1198,8.7158,9.5679,9.2265,8.7475,10.2123,11.6425,14.388,9.1264,10.1882,10.4036,10.6465,9.358,13.084,10.8096,10.6624,10.872,10.9505,10.7562,8.3319,10.3794,10.9609,12.1078,9.3354,11.7083,8.7372,11.6722,11.4265,8.8549,11.0995,10.4197,9.7764,10.0312,9.8777,10.6261,11.2004,10.6273,11.3223,10.4052,10.2118,11.0796,11.9082,11.7399,8.8729,8.3891,8.259,8.6826,7.3029,9.0941,9.6425,9.4931,8.8212,10.0638,8.9721,8.6477,8.9561,7.6934,8.6782,7.4385,7.6504,8.5991,7.985,7.8961,8.7508,8.11,10.285,8.3163,7.7867,11.0401,8.6828,7.171,9.0262,9.1473,8.098,9.3413,7.8362,6.9872,7.2154,11.3022,7.2658,9.4358,7.6549,8.2358,8.881,7.7896,5.1655,8.7325,5.337,5.1141,6.7031,7.1023,10.2781,7.746,10.375
